time_minute,machine,area,measurement_count,temp_min,temp_max,temp_mean,temp_std,temp_single_min,temp_single_max,temp_single_mean,temp_single_std,temp_hopper_min,temp_hopper_max,temp_hopper_mean,temp_hopper_std,temp_conv_left_min,temp_conv_left_max,temp_conv_left_mean,temp_conv_left_std,temp_conv_right_min,temp_conv_right_max,temp_conv_right_mean,temp_conv_right_std,temp_auger_left_min,temp_auger_left_max,temp_auger_left_mean,temp_auger_left_std,temp_auger_right_min,temp_auger_right_max,temp_auger_right_mean,temp_auger_right_std,temp_subgrade_min,temp_subgrade_max,temp_subgrade_mean,temp_subgrade_std,speed_min,speed_max,speed_mean,speed_std
2025-10-19 08:00:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,66,15.0,105.0,88.59,13.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,5.1,4.56,0.92
2025-10-19 08:01:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,118.0,144.0,136.69,5.33,,,,,,,,,,,,,,,,,121.0,131.0,125.75,2.31,,,,,,,,,3.75,4.15,4.02,0.12
2025-10-19 08:01:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,113.0,82.43,27.35,,,,,,,,,,,,,,,,,87.0,105.0,98.69,4.6,,,,,,,,,3.69,4.21,4.01,0.15
2025-10-19 08:01:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,91,69.0,102.0,85.38,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,5.6,5.42,0.21
2025-10-19 08:01:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,1,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.8,
2025-10-19 08:02:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,121.0,143.0,133.91,5.27,,,,,,,,,,,,,,,,,125.0,131.0,128.31,1.72,,,,,,,,,3.69,4.15,4.02,0.14
2025-10-19 08:02:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,340,16.0,115.0,82.5,27.4,,,,,,,,,,,,,,,,,87.0,120.0,108.76,10.4,,,,,,,,,3.69,4.21,4.02,0.14
2025-10-19 08:02:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,91,73.0,109.0,90.18,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.7,5.46,0.17
2025-10-19 08:03:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,119.0,141.0,131.2,6.05,,,,,,,,,,,,,,,,,122.0,132.0,127.44,2.48,,,,,,,,,3.95,4.17,4.08,0.05
2025-10-19 08:03:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,130.0,91.28,30.65,,,,,,,,,,,,,,,,,112.0,124.0,120.13,3.83,,,,,,,,,4.02,4.27,4.1,0.07
2025-10-19 08:03:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,14,66.0,78.0,73.71,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,5.5,5.16,0.89
2025-10-19 08:03:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,22,12.0,83.0,44.77,30.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,4.0,2.77,1.08
2025-10-19 08:04:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,115.0,142.0,130.42,6.51,,,,,,,,,,,,,,,,,118.0,129.0,124.38,3.06,,,,,,,,,3.62,4.15,4.0,0.16
2025-10-19 08:04:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,136.0,106.52,34.55,,,,,,,,,,,,,,,,,113.0,119.0,116.5,1.37,,,,,,,,,3.69,4.21,4.02,0.15
2025-10-19 08:04:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,65,73.0,113.0,93.0,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,4.1,3.79,0.55
2025-10-19 08:05:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,374,108.0,136.0,121.27,5.25,,,,,,,,,,,,,,,,,110.0,122.0,116.71,3.24,,,,,,,,,4.02,4.15,4.1,0.04
2025-10-19 08:05:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,137.0,112.08,38.95,,,,,,,,,,,,,,,,,115.0,121.0,118.25,1.56,,,,,,,,,3.98,4.15,4.07,0.06
2025-10-19 08:05:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,67,42.0,98.0,74.7,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4.1,3.81,0.7
2025-10-19 08:06:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,113.0,127.0,118.41,2.55,,,,,,,,,,,,,,,,,115.0,122.0,119.69,1.86,,,,,,,,,3.69,4.21,4.04,0.13
2025-10-19 08:06:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,136.0,113.06,39.15,,,,,,,,,,,,,,,,,107.0,119.0,114.13,3.73,,,,,,,,,3.69,4.21,4.02,0.15
2025-10-19 08:06:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,63,12.0,85.0,70.97,15.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,3.76,0.67
2025-10-19 08:07:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,108.0,120.0,114.7,2.01,,,,,,,,,,,,,,,,,120.0,129.0,124.75,2.39,,,,,,,,,3.62,4.21,4.01,0.16
2025-10-19 08:07:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,135.0,112.22,35.99,,,,,,,,,,,,,,,,,112.0,120.0,116.81,2.25,,,,,,,,,3.69,4.21,4.04,0.14
2025-10-19 08:07:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,67,74.0,110.0,90.78,10.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.1,3.87,0.37
2025-10-19 08:08:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,374,106.0,125.0,115.23,3.52,,,,,,,,,,,,,,,,,117.0,128.0,122.88,3.81,,,,,,,,,4.02,4.21,4.08,0.06
2025-10-19 08:08:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,340,18.0,139.0,113.61,33.02,,,,,,,,,,,,,,,,,111.0,118.0,114.82,2.07,,,,,,,,,4.02,4.21,4.1,0.06
2025-10-19 08:08:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,95,66.0,113.0,88.94,13.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,6.5,6.15,0.53
2025-10-19 08:08:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,65,60.0,83.0,74.08,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,4.1,3.75,0.59
2025-10-19 08:09:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,111.0,128.0,121.69,3.97,,,,,,,,,,,,,,,,,112.0,121.0,117.25,2.44,,,,,,,,,3.69,4.28,4.03,0.13
2025-10-19 08:09:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,18.0,141.0,116.21,32.76,,,,,,,,,,,,,,,,,113.0,119.0,115.69,1.9,,,,,,,,,3.69,4.13,4.0,0.13
2025-10-19 08:09:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,85,62.0,113.0,78.86,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,6.7,6.0,0.74
2025-10-19 08:09:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,66,77.0,107.0,92.59,9.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,4.0,3.8,0.46
2025-10-19 08:10:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,111.0,132.0,124.54,4.29,,,,,,,,,,,,,,,,,114.0,122.0,118.19,1.98,,,,,,,,,3.79,4.21,4.05,0.09
2025-10-19 08:10:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,142.0,115.15,35.79,,,,,,,,,,,,,,,,,109.0,120.0,115.63,3.06,,,,,,,,,3.69,4.2,4.02,0.13
2025-10-19 08:10:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,91,63.0,130.0,86.86,18.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.0,5.92,0.11
